source,target,weight
Arijit Singh,Pritam,115
Drifting Cowboys,Hank Williams,104
Sarah,the Illstrumentalist,86
Danielle Laval,Wolfgang Amadeus Mozart,73
Blake Rules,Netherfriends,53
Berliner Philharmoniker,Herbert von Karajan,41
Bad Bunny,J Balvin,38
Deekline,Ed Solo,36
George Jones,Tammy Wynette,36
Giuseppe Verdi,Riccardo Muti,33
Anderson .Paak,Silk Sonic,30
Bruno Mars,Silk Sonic,30
Anderson .Paak,Bruno Mars,30
Adam Lukas,Hans Zimmer,29
Adam Lukas,James Everingham,29
Brooke Ligertwood,Hillsong Worship,29
Hans Zimmer,James Everingham,29
Alka Yagnik,Udit Narayan,28
Ella Henderson,Nathan Dawe,27
Giuseppe Verdi,New Philharmonia Orchestra,27
New Philharmonia Orchestra,Riccardo Muti,27
Giacomo Puccini,Luciano Pavarotti,27
KK,Pritam,26
Georges Bizet,Orchestre National Du Capitole De Toulouse,26
Michel Plasson,Orchestre National Du Capitole De Toulouse,26
Havoc Mathan,Havoc Naven,26
Julio Sosa,Leopoldo Federico y su Orquesta,26
Pavel Nersessian,Robert Schumann,26
Wiener Mozart Ensemble,Willi Boskovsky,26
Willi Boskovsky,Wolfgang Amadeus Mozart,26
Wiener Mozart Ensemble,Wolfgang Amadeus Mozart,26
Georges Bizet,Michel Plasson,26
Ingrid Haebler,Wolfgang Amadeus Mozart,25
Bad Bunny,Jhayco,25
Ferrugem,Suel,25
Plastikman,Richie Hawtin,24
Michel Plasson,Wolff,24
Gavin Greenaway,The Lyndhurst Orchestra,24
Academy of St. Martin in the Fields,Sir Neville Marriner,24
Ferrugem,RDN,24
Georges Bizet,Wolff,24
RDN,Suel,24
Orchestre National Du Capitole De Toulouse,Wolff,24
Alka Yagnik,Kumar Sanu,23
Giacomo Puccini,Herbert von Karajan,23
Berliner Philharmoniker,Giacomo Puccini,23
Gavin Greenaway,Hans Zimmer,22
Hans Zimmer,The Lyndhurst Orchestra,22
Academy of St. Martin in the Fields,Wolfgang Amadeus Mozart,21
Alan Menken,Disney,21
Amitabh Bhattacharya,Pritam,21
Dylan Matthew,SLANDER,20
Bad Bunny,Daddy Yankee,20
AURORA,James Everingham,20
Director's Cut,Frankie Knuckles,20
Alfredo De Angelis,Orquesta de Alfredo De Angelis,20
AURORA,Hans Zimmer,20
Kristian Stanfill,Passion,20
AURORA,Adam Lukas,20
Project AER,v i v,19
Charli XCX,Tiësto,19
Eric Kupper,Frankie Knuckles,19
Ryuichi Sakamoto,alva noto,19
Alphaxone,protoU,19
Justin Bieber,Omah Lay,18
Nikolai Erdenko,"Ансамбль ""Джанг""",18
Akatu,Grupo Revelação,18
Director's Cut,Eric Kupper,18
Antara Mitra,Pritam,18
Sir Neville Marriner,Wolfgang Amadeus Mozart,18
Mohit Chauhan,Pritam,18
Charlie Puth,Jung Kook,18
Annie Lennox,Eurythmics,17
Annie Lennox,Dave Stewart,17
Arthur Grumiaux,Walter Klien,17
Dave Stewart,Eurythmics,17
Becky Hill,David Guetta,17
Arthur Grumiaux,Wolfgang Amadeus Mozart,17
Anton Mittermayr,phil Blech Wien,17
Walter Klien,Wolfgang Amadeus Mozart,17
Carlos Lombardi,Los Românticos De La Noche,17
Bebe Rexha,David Guetta,17
AP Dhillon,Gurinder Gill,17
Lin-Manuel Miranda,Original Broadway Cast of Hamilton,16
Kristen Anderson-Lopez,Robert Lopez,16
André Rieu,Johann Strauss Orchestra,16
Deekline,Specimen A,16
Herbert von Karajan,Luciano Pavarotti,16
Giacomo Puccini,London Philharmonic Orchestra,16
Pritam,Shreya Ghoshal,16
